Episode,Epsilon,AvgReward,Collisions,Penalties
1,1,-870.454172298808,130,0
2,0.995,-1003.82823935637,150,0
3,0.990025,-1003.99928952489,150,0
4,0.985074875,-1003.78717247747,150,0
5,0.980149500625,-1003.97183234557,150,0
6,0.975248753121875,-1003.98473517929,150,0
7,0.970372509356266,-1003.95171500691,150,0
8,0.965520646809484,-1003.82703220783,150,0
9,0.960693043575437,-1003.63720093378,150,0
10,0.95588957835756,-1003.80655587348,150,0
11,0.951110130465772,-1003.82030803298,150,0
12,0.946354579813443,-1003.74197255816,150,0
13,0.941622806914376,-1004.00280093034,150,0
14,0.936914692879804,-1003.62211525146,150,0
15,0.932230119415405,-997.23197952965,149,0
16,0.927568968818328,-1003.82858503076,150,0
17,0.922931123974236,-1003.92327247097,150,0
18,0.918316468354365,-1003.69590225715,150,0
19,0.913724886012593,-1004.08515555168,150,0
20,0.90915626158253,-1003.85444125253,150,0
21,0.904610480274618,-1004.04742864282,150,0
22,0.900087427873244,-1003.77084162946,150,0
23,0.895586990733878,-1003.5340053908,150,0
24,0.891109055780209,-1003.99493233737,150,0
25,0.886653510501308,-1004.20579451175,150,0
26,0.882220242948801,-1003.83060177162,150,0
27,0.877809141734057,-1003.54237407615,150,0
28,0.873420096025387,-1003.94824386252,150,0
29,0.86905299554526,-1004.03205434313,150,0
30,0.864707730567534,-1003.94879109256,150,0
31,0.860384191914696,-1003.71202761985,150,0
32,0.856082270955123,-1003.84518930786,150,0
33,0.851801859600347,-1003.92244008117,150,0
34,0.847542850302345,-1003.95790215163,150,0
35,0.843305136050834,-1003.70598871008,150,0
36,0.839088610370579,-1003.73858819984,150,0
37,0.834893167318726,-1003.70069801441,150,0
38,0.830718701482133,-1004.11407207049,150,0
39,0.826565107974722,-1003.95567642565,150,0
40,0.822432282434849,-1003.97183563351,150,0
41,0.818320121022674,-1004.22841858523,150,0
42,0.814228520417561,-1003.78796091042,150,0
43,0.810157377815473,-1003.94085504347,150,0
44,0.806106590926396,-1003.90236474105,150,0
45,0.802076057971764,-1003.72033390639,150,0
46,0.798065677681905,-1003.75331989671,150,0
47,0.794075349293495,-1003.75457981356,150,0
48,0.790104972547028,-1003.64971372429,150,0
49,0.786154447684293,-1003.64315501565,150,0
50,0.782223675445871,-1003.61069103483,150,0
51,0.778312557068642,-1003.67499991103,150,0
52,0.774420994283299,-1003.87989381703,150,0
53,0.770548889311882,-1004.06884548959,150,0
54,0.766696144865323,-1003.50731819439,150,0
55,0.762862664140996,-1003.97021,150,0
56,0.759048350820291,-1004.02215195895,150,0
57,0.75525310906619,-1003.94014140271,150,0
58,0.751476843520859,-1003.74799683033,150,0
59,0.747719459303254,-1003.89242209403,150,0
60,0.743980862006738,-1003.7166845944,150,0
61,0.740260957696705,-1003.84688335249,150,0
62,0.736559652908221,-1004.03139557416,150,0
63,0.73287685464368,-1003.51259690245,150,0
64,0.729212470370462,-1003.71713662016,150,0
65,0.725566408018609,-1003.76847000793,150,0
66,0.721938575978516,-996.983704720164,149,0
67,0.718328883098624,-1004.41964920831,150,0
68,0.714737238683131,-1003.74285558967,150,0
69,0.711163552489715,-1003.84143981527,150,0
70,0.707607734727266,-1003.86310528359,150,0
71,0.70406969605363,-1003.74598797254,150,0
72,0.700549347573362,-1003.43586732868,150,0
73,0.697046600835495,-1003.74347847661,150,0
74,0.693561367831317,-1004.20047871594,150,0
75,0.690093560992161,-1003.73107863615,150,0
76,0.6866430931872,-1003.89741559572,150,0
77,0.683209877721264,-1003.61324771378,150,0
78,0.679793828332658,-1003.89612579382,150,0
79,0.676394859190995,-1003.6012588702,150,0
80,0.67301288489504,-997.068097971365,149,0
81,0.669647820470564,-1004.21427142858,150,0
82,0.666299581368212,-1003.6917691359,150,0
83,0.66296808346137,-1003.66595101138,150,0
84,0.659653243044064,-1003.87972052426,150,0
85,0.656354976828843,-1003.82846359116,150,0
86,0.653073201944699,-997.12260298375,149,0
87,0.649807835934975,-1004.04518862455,150,0
88,0.646558796755301,-1003.79817263707,150,0
89,0.643326002771524,-1003.81812548407,150,0
90,0.640109372757666,-1003.8305818131,150,0
91,0.636908825893878,-997.219890681827,149,0
92,0.633724281764409,-1004.01790810186,150,0
93,0.630555660355587,-1004.16695430392,150,0
94,0.627402882053809,-1004.073763113,150,0
95,0.62426586764354,-1004.00136360882,150,0
96,0.621144538305322,-1004.06146582654,150,0
97,0.618038815613795,-1003.64277252442,150,0
98,0.614948621535726,-1003.95029701626,150,0
99,0.611873878428048,-1003.87689287136,150,0
100,0.608814509035907,-1003.84243010085,150,0
